 * ABOUT        XMRig/6.25.0 gcc/13.2.1 (built for Linux x86-64, 64 bit)
 * LIBS         libuv/1.51.0 OpenSSL/3.0.16 hwloc/2.12.1
 * HUGE PAGES   supported
 * 1GB PAGES    disabled
 * CPU          AMD EPYC-Milan Processor (1) 64-bit AES VM
                L2:0.5 MB L3:32.0 MB 1C/2T NUMA:1
 * MEMORY       1.3/1.8 GB (73%)
 * DONATE       1%
 * ASSEMBLY     auto:ryzen
 * POOL #1      pool.supportxmr.com:3333 algo auto
 * COMMANDS     'h' hashrate, 'p' pause, 'r' resume, 's' results, 'c' connection
[2026-01-17 21:39:57.358]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590048 (51 tx)
[2026-01-17 21:40:00.528]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (3 tx)
[2026-01-17 21:40:10.653]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (6 tx)
[2026-01-17 21:40:12.717]  miner    speed 10s/60s/15m 31.56 33.45 n/a H/s max 36.18 H/s
[2026-01-17 21:40:20.973]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (8 tx)
[2026-01-17 21:40:31.266]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (12 tx)
[2026-01-17 21:40:41.294]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (15 tx)
[2026-01-17 21:40:51.579]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (20 tx)
[2026-01-17 21:41:01.606]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (25 tx)
[2026-01-17 21:41:11.827]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (29 tx)
[2026-01-17 21:41:12.910]  miner    speed 10s/60s/15m 32.35 32.35 n/a H/s max 36.18 H/s
[2026-01-17 21:41:21.834]  net      new job from pool.supportxmr.com:3333 diff 75000 algo rx/0 height 3590049 (32 tx)
